5 1433 com,-15519.89,-17851.85,S
penn work ,-1108.83,-1309.66,S
high quali,-1197.37,-1169.06,P
jeremi hyl,-1848.41,-1932.54,S
fw weygand,-4026.26,-4115.26,S
tw pnr bil,-1013.74,-1029.67,S
energi der,-225.04,-232.29,S
women stud,-1443.32,-1589.24,S
dn troubl ,-1501.35,-1469.41,P
g energi k,-1558.09,-1700.98,S
kant innat,-1674.55,-1895.38,S
alway amaz,-732.12,-740.53,S
onli softw,-195.71,-176.78,P
proper nam,-1236.85,-1331.22,S
cheap oem ,-413.23,-397.97,P
3 429 end ,-643.08,-702.03,S
bill want ,-812.73,-845.42,S
let apprec,-1720.86,-1616.32,P
gari lawre,-808.16,-829.14,S
f r e e ca,-570.79,-546.03,P
start date,-291.11,-332.18,S
teach engl,-4324.71,-4791.75,S
mailv07a g,-499.45,-435.76,P
adult only,-356.57,-351.76,P
weekend no,-351.11,-424.44,S
make money,-7453.0,-6555.14,P
made p e n,-856.81,-842.81,P
state sena,-5143.49,-5370.6,S
today sun ,-2288.83,-2314.39,S
reimburs i,-450.0,-466.38,S
hello fork,-964.43,-881.42,P
jame roger,-717.41,-729.99,S
divx news ,-4269.77,-4245.49,P
url http w,-464.71,-470.98,S
fw total g,-962.29,-1006.07,S
drunk youn,-477.75,-448.54,P
polici mod,-4304.05,-4588.25,S
hot news a,-9786.88,-9131.7,P
intraday e,-492.32,-532.28,S
number com,-1478.46,-1515.68,S
second lan,-827.09,-963.37,S
mon 19 aug,-2259.44,-2312.25,S
nestor liv,-542.32,-492.85,P
watch full,-1771.84,-1705.28,P
anyon inte,-852.43,-888.05,S
url http b,-657.01,-648.43,P
relief ski,-2976.49,-2832.41,P
prodigi nf,-1355.53,-1335.09,P
list admin,-346.21,-362.92,S
ani one an,-495.88,-535.54,S
carri vico,-1085.06,-969.46,P
approv ove,-986.73,-1151.19,S
white wall,-371.21,-443.3,S
auction we,-2696.49,-2624.36,P
gain lowes,-1469.46,-1381.42,P
2001 resea,-1050.8,-1104.16,S
aisb96 cal,-4693.05,-5454.47,S
ford salut,-1092.87,-1077.21,P
error ,-22.61,-21.56,P
mon 2002 0,-2479.37,-2517.6,S
toni nugen,-2056.91,-2204.64,S
municip bo,-1102.39,-1134.86,S
offer best,-1334.66,-1263.61,P
hello tri ,-2064.4,-2138.06,S
thank tip ,-361.27,-375.5,S
enron ment,-17400.51,-18940.27,S
ce duke en,-149.76,-149.18,P
phone list,-305.59,-320.66,S
empti ,-23.89,-21.65,P
wallstreet,-4598.31,-4320.73,P
chest pain,-182.71,-176.57,P
url http b,-412.77,-419.84,S
glo egm ga,-4045.9,-4553.56,S
kevin past,-2132.55,-2228.24,S
url http b,-394.06,-392.64,P
free live ,-397.4,-369.64,P
money cont,-1178.6,-1134.97,P
verna chan,-241.77,-228.65,P
tenaska iv,-156.95,-168.38,S
invest sch,-3450.47,-3291.06,P
great fun ,-1136.11,-1186.27,S
├é┬ádear h,-800.02,-731.95,P
gwu usa sm,-6463.65,-6134.51,P
major news,-6255.84,-5810.91,P
empti ,-23.89,-21.65,P
readi get ,-328.15,-282.33,P
power weig,-1117.01,-1047.35,P
v chaanc w,-704.75,-630.76,P
global ris,-2424.45,-2594.29,S
begin forw,-3261.92,-3363.38,S
cash 48463,-594.55,-538.82,P
new book m,-1330.83,-1650.04,S
easi legit,-1753.21,-1649.15,P
url http w,-613.12,-638.58,S
bigger bet,-218.03,-201.59,P
secret nov,-1353.14,-1301.16,P
posit avai,-1364.82,-1450.67,S
new capita,-4257.35,-4174.9,P
analyst pr,-797.65,-830.26,S
import onl,-828.55,-793.6,P
locat remi,-2074.86,-2528.63,S
child lang,-1486.63,-1778.24,S
fri sep 13,-947.38,-1033.67,S
special is,-2239.35,-2598.67,S
tue oct 08,-471.45,-485.54,S
http www w,-1775.62,-1818.5,S
jackrabbit,-1113.75,-1045.78,P
ani med gi,-350.69,-306.55,P
juiceman i,-1480.24,-1394.83,P
ou alumni ,-355.58,-363.27,S
fw alleghe,-550.84,-591.91,S
pkdd 98 pk,-8369.05,-9269.17,S
understand,-1042.52,-1121.51,S
energi bod,-1927.85,-1750.66,P
correct co,-781.37,-800.88,S
year end p,-2730.93,-2834.56,S
transweste,-411.72,-456.64,S
revison 1 ,-166.93,-186.08,S
want submi,-587.86,-526.04,P
free info ,-1190.99,-1135.47,P
buzzword a,-81.39,-79.2,P
contract d,-186.88,-199.03,S
revis aga ,-300.79,-310.29,S
grammat re,-2108.25,-2369.95,S
vacat carr,-1268.69,-1286.12,S
g j ramste,-1198.92,-1298.03,S
empti ,-23.89,-21.65,P
fw train g,-1402.22,-1462.75,S
tue 13 aug,-1048.89,-1084.19,S
industri f,-6613.29,-6390.93,P
graphic so,-1384.14,-1171.24,P
enron empl,-915.14,-1000.42,S
viru found,-481.27,-456.58,P
updat cvsr,-1509.6,-1573.09,S
bankruptci,-605.45,-655.41,S
group limi,-332.71,-346.97,S
lng updat ,-1062.57,-1095.31,S
pleas resp,-311.9,-331.12,S
alway cum ,-532.54,-506.03,P
heh never ,-572.3,-579.38,S
use perl d,-2314.5,-2432.94,S
hey ha giv,-728.37,-741.91,S
good morn ,-961.03,-1057.27,S
fw web con,-1361.36,-1387.75,S
url http w,-932.13,-963.28,S
empti ,-23.89,-21.65,P
dear homeo,-762.86,-705.35,P
obligatori,-3826.97,-4418.11,S
g gordon m,-1547.51,-1568.25,S
url http j,-338.12,-350.73,S
job descri,-1948.08,-2374.15,S
date fri 1,-1836.9,-1923.94,S
onli solut,-154.09,-137.15,P
url http w,-2279.02,-2315.72,S
get best r,-761.58,-711.45,P
adjourn pa,-296.38,-260.54,P
url http j,-353.17,-375.8,S
revis cont,-351.84,-362.09,S
set razor ,-840.9,-889.82,S
├é┬áyou pr,-1103.38,-1020.36,P
increas pe,-1606.85,-1472.39,P
http www h,-654.35,-679.36,S
inexpens o,-377.0,-333.37,P
5th intl c,-3048.83,-3431.52,S
hpl delive,-1258.2,-1433.36,S
font thi h,-2920.53,-3141.79,S
situat rig,-982.81,-944.21,P
tue aug 06,-847.46,-873.48,S
www page s,-1182.38,-1334.09,S
henwood ny,-147.05,-165.27,S
astounding,-1590.1,-1492.24,P
honest par,-3818.0,-3636.31,P
greet earn,-818.37,-772.74,P
articl whi,-172.1,-177.29,S
fw draft d,-821.88,-897.37,S
follow hir,-2355.77,-2492.81,S
immigr upd,-514.09,-521.87,S
miscellan ,-686.77,-736.91,S
amta 98 ma,-6847.27,-7624.06,S
chang coor,-498.33,-553.22,S
explor rea,-875.51,-824.95,P
empti ,-23.89,-21.65,P
sunday 01 ,-968.07,-1023.08,S
goat rdn w,-5220.81,-4922.6,P
promot pro,-826.57,-784.29,P
0020 0100 ,-2839.2,-3038.38,S
sprach mal,-1329.3,-1342.87,S
tone gramm,-699.3,-757.63,S
beat em jo,-396.58,-356.31,P
invoic swi,-1076.29,-1081.72,S
fw energi ,-391.87,-407.52,S
feedback e,-2041.57,-2509.48,S
research g,-1035.02,-1103.74,S
sle 98 st ,-1996.32,-2301.6,S
url http w,-203.65,-206.33,S
eskimo sno,-561.52,-617.37,S
depend bas,-3603.91,-4188.28,S
good day g,-3338.63,-3150.25,P
url http w,-460.71,-477.02,S
protect fi,-949.15,-874.19,P
softwar he,-1129.36,-1196.72,S
read appro,-425.79,-411.28,P
toward cul,-4721.4,-5324.79,S
time sensi,-1685.73,-1776.09,S
level 2 to,-5879.14,-5341.17,P
congratul ,-60.38,-61.42,S
origin mes,-1111.27,-1137.17,S
empti ,-23.89,-21.65,P
firstli li,-4898.5,-5193.58,S
steve thom,-868.23,-881.01,S
mon 2002 0,-323.25,-358.67,S
failur not,-1825.65,-1661.27,P
know hi ba,-844.52,-826.72,P
ad issu se,-1005.82,-1006.46,S
url http w,-233.4,-251.17,S
ecml 98 ta,-5815.75,-6747.17,S
know skim ,-371.0,-366.02,P
prefer clo,-1304.92,-1433.14,S
protect fi,-949.15,-874.19,P
fw neevr s,-145.29,-139.66,P
elimin deb,-332.38,-323.2,P
huron do r,-1011.29,-1087.11,S
pragma99 2,-4092.76,-4665.41,S
anal love ,-79.83,-70.59,P
price rev ,-805.02,-720.22,P
wed aug 14,-375.46,-403.41,S
restrict l,-3333.11,-3367.3,S
becom cert,-2373.23,-2324.41,P
question w,-894.35,-855.2,P
craig r hu,-979.32,-1011.19,S
photoshop ,-180.02,-160.93,P
logo stati,-1057.47,-963.03,P
credit wat,-605.98,-607.11,S
dear sir k,-951.68,-890.95,P
forbidden ,-248.56,-239.19,P
return mai,-706.07,-687.3,P
stop smoke,-2745.77,-2632.83,P
queri icel,-511.06,-581.93,S
save life ,-647.52,-592.29,P
find morei,-9053.82,-8539.83,P
fri 19 jul,-1439.56,-1456.02,S
wm ceviri ,-1296.22,-1194.67,P
cfp recent,-7004.35,-8166.9,S
organiz an,-1735.4,-1838.81,S
r x order ,-436.94,-401.77,P
queri font,-210.34,-211.83,S
macromedia,-315.03,-292.32,P
url http s,-420.64,-441.87,S
slash paym,-872.37,-816.82,P
oportunida,-2794.47,-2586.76,P
view holla,-408.9,-431.05,S
two intere,-888.69,-936.84,S
contract u,-491.43,-527.49,S
save money,-389.54,-345.91,P
tenaska iv,-1841.72,-2009.9,S
come see s,-598.24,-580.53,P
lose 19 we,-1053.04,-1005.66,P
readi get ,-335.81,-285.33,P
use perl d,-887.11,-968.69,S
august 200,-151.63,-161.11,S
first deli,-3079.6,-3920.25,S
empti ,-23.89,-21.65,P
attent thi,-971.36,-905.84,P
new linux ,-223.79,-248.42,S
l2 theori ,-1011.4,-1132.71,S
congratul ,-2787.63,-2659.1,P
shoot cu d,-518.98,-465.63,P
3 429 end ,-1169.93,-1267.48,S
php progra,-886.84,-947.67,S
afford onl,-344.46,-317.26,P
schedul cr,-171.32,-194.54,S
machin lea,-4167.02,-4630.89,S
charg adve,-324.71,-299.91,P
hpl nom ju,-140.44,-160.52,S
empti ,-23.89,-21.65,P
rohit wa w,-18819.03,-18895.37,S
hello fork,-697.3,-613.21,P
fantast ne,-3323.7,-3086.33,P
url http w,-245.68,-249.79,S
confer phe,-657.95,-735.82,S
receiv thi,-4025.33,-3756.78,P
url http j,-313.45,-317.97,S
server kno,-1258.9,-1336.34,S
start date,-290.73,-332.22,S
dhumbadji ,-665.3,-702.01,S
shop loan ,-471.78,-430.54,P
0500 est s,-1505.15,-1640.6,S
cia li ref,-232.28,-190.96,P
inform com,-9092.76,-10402.82,S
financi we,-597.89,-649.53,S
park lend ,-473.16,-488.32,S
enron hpl ,-143.85,-169.27,S
tenaska iv,-759.4,-820.0,S
oh year ye,-718.58,-756.14,S
cut bill s,-762.58,-788.6,S
promot pla,-622.9,-606.63,P
ee ask ori,-594.86,-614.87,S
instal equ,-279.03,-283.67,S
increas md,-403.12,-416.2,S
dont fuddi,-234.62,-226.43,P
wonder foc,-426.71,-448.01,S
reduc mont,-277.76,-269.66,P
synthet co,-2453.33,-2769.55,S
probblem s,-727.82,-642.51,P
zhendong s,-1218.75,-1376.72,S
inculp ill,-3178.84,-2945.12,P
new trader,-819.02,-891.01,S
enron ment,-18679.86,-20315.26,S
use perl d,-718.47,-787.23,S
mon 2 sep ,-929.28,-978.32,S
accomplish,-59.69,-61.75,S
url http w,-1123.94,-1172.71,S
import inf,-770.15,-744.59,P
url http w,-2529.02,-2637.44,S
eprm 2001 ,-2613.86,-2835.08,S
onc upon t,-752.07,-801.4,S
credit req,-842.33,-919.95,S
graphic so,-1406.32,-1177.34,P
trade free,-25128.2,-25399.14,S
intellig f,-615.18,-593.94,P
final make,-1494.65,-1386.19,P
empti ,-23.89,-21.65,P
ph armaci ,-1229.31,-1174.35,P
statu hpl ,-175.55,-202.64,S
equival ci,-260.54,-233.17,P
red rock f,-2057.8,-2182.34,S
tenur trac,-2457.02,-2718.26,S
onlin sale,-617.61,-542.23,P
new replic,-1212.11,-1076.6,P
updat spam,-720.56,-729.11,S
dear salli,-1331.76,-1403.63,S
graphic ar,-512.27,-424.56,P
url http w,-257.86,-268.23,S
sale earn ,-3489.98,-3104.91,P
holiday in,-181.92,-190.79,S
book histo,-3329.34,-3904.49,S
tech updat,-5054.87,-5057.9,S
rig thi te,-1714.7,-1663.52,P
strong buy,-11273.95,-10849.7,P
fw full ye,-295.03,-302.88,S
request su,-374.31,-388.41,S
tanlp work,-6505.52,-7538.92,S
bulletproo,-494.65,-468.53,P
copano p l,-1402.63,-1629.41,S
request pa,-145.54,-141.1,P
adam l beb,-462.31,-473.47,S
cigarett w,-394.99,-367.62,P
money vlaa,-918.05,-810.12,P
eol wti hi,-1000.28,-1151.21,S
bodi backg,-13738.92,-13606.04,P
url http j,-372.42,-383.04,S
intraday e,-3823.26,-4322.48,S
phonet pho,-984.39,-1183.98,S
enron hpl ,-141.54,-176.85,S
skin like ,-838.37,-780.25,P
articl ga ,-7388.43,-7571.92,S
enron bid ,-433.18,-489.41,S
mean like ,-359.31,-356.86,P
2nd cfp kr,-5821.07,-6573.77,S
busi coope,-1812.35,-1724.43,P
book cover,-715.77,-764.93,S
su per hu ,-571.93,-514.33,P
ase hypert,-619.5,-620.78,S
veri sspec,-662.34,-599.7,P
thi bizarr,-2168.82,-2280.03,S
url http w,-175.98,-185.91,S
wellhead d,-622.12,-669.59,S
anthoni ba,-599.2,-607.55,S
start date,-293.98,-335.4,S
wish answe,-3988.45,-4151.74,S
sat aug 17,-1123.89,-1149.05,S
trick than,-4117.47,-4319.06,S
url http s,-426.87,-451.83,S
thi messag,-1703.56,-1662.4,P
http www q,-657.97,-664.36,S
tue oct 08,-961.5,-1042.01,S
failur not,-2089.75,-1922.33,P
start date,-287.5,-325.22,S
slip ambl ,-590.02,-504.43,P
padraig br,-825.79,-873.29,S
whi love u,-3923.02,-3955.54,S
sapir whor,-421.14,-478.88,S
6 280 sum ,-434.52,-474.48,S
new hire o,-653.78,-692.57,S
ethnobotan,-19172.77,-17167.43,P
78 new sof,-510.37,-493.78,P
busi plan ,-130.47,-131.36,S
mon aug 12,-785.66,-839.9,S
friday jul,-577.19,-586.43,S
etc event ,-627.79,-622.6,P
get 12 fre,-915.96,-840.48,P
cost effec,-4103.05,-3978.88,P
repli levo,-1220.06,-1196.92,P
url http b,-510.1,-516.47,S
tw bullet ,-1269.53,-1324.65,S
month end ,-442.65,-483.65,S
follow 85 ,-695.71,-668.04,P
