6 1100 dis,-781.54,-818.05,S
side galic,-388.2,-427.04,S
equistar d,-1182.89,-1329.49,S
hello hot ,-599.14,-552.48,P
softwar in,-541.41,-540.33,P
global ris,-2570.9,-2759.95,S
sun aug 11,-881.79,-916.37,S
entourag s,-7251.48,-6709.03,P
owe lot mo,-502.71,-481.3,P
coastal de,-1411.33,-1545.4,S
make beg g,-1344.37,-1218.84,P
url http w,-256.55,-270.59,S
begin forw,-5139.34,-5279.02,S
fyi wellhe,-1025.75,-1176.57,S
rmmla ad p,-2274.68,-2568.03,S
test ir fx,-368.07,-375.58,S
academ dis,-671.17,-714.62,S
3 402 quer,-799.95,-954.04,S
resum john,-1122.47,-1172.3,S
effector v,-9170.9,-9249.54,S
meet feb 8,-1041.59,-1197.2,S
formal inv,-301.5,-283.73,P
question w,-576.82,-541.12,P
url http w,-238.07,-258.76,S
calpin dai,-334.48,-366.14,S
fw bod age,-587.22,-636.56,S
start date,-413.31,-472.81,S
tetco hpl ,-3496.34,-3906.25,S
promot pro,-995.77,-910.61,P
cultur com,-372.67,-410.09,S
sle 31 cal,-4473.12,-5259.05,S
,-14.49,-13.51,P
lower bloo,-755.4,-731.52,P
releas agf,-2503.93,-2826.1,S
mobil beau,-1124.57,-1233.65,S
function m,-1357.65,-1354.38,P
present me,-717.68,-772.03,S
premium ad,-524.44,-497.5,P
thank bren,-804.15,-920.15,S
6 381 word,-1229.82,-1360.6,S
25 mg tric,-734.77,-651.86,P
help want ,-536.52,-498.59,P
import mes,-920.14,-880.54,P
hpl optim ,-1394.99,-1482.06,S
piti read ,-296.23,-302.99,S
buy 2 adul,-264.37,-243.69,P
fw first d,-2781.28,-3366.27,S
new hire d,-373.0,-398.91,S
gino u wan,-252.32,-225.53,P
unbeliev n,-379.58,-359.59,P
url http s,-460.83,-493.34,S
discov new,-252.97,-238.33,P
interview ,-293.99,-313.14,S
origin mes,-327.54,-347.9,S
empti ,-23.89,-21.65,P
chess endg,-385.16,-409.67,S
free porta,-738.03,-695.36,P
today floo,-266.28,-278.31,S
urgent mr ,-2869.19,-2640.63,P
open seaso,-178.82,-186.88,S
refinanc h,-1862.76,-1759.89,P
home sourc,-300.71,-284.43,P
tp tim pet,-4046.92,-4231.02,S
url http b,-615.45,-633.56,S
close ling,-3668.04,-4065.21,S
tmda net h,-2950.37,-3233.65,S
digit publ,-1167.62,-1087.51,P
stori peop,-396.09,-393.04,P
workshop e,-3156.52,-3594.26,S
0 u n g e ,-188.86,-181.81,P
organ anno,-1086.3,-1151.57,S
look sound,-2262.08,-2288.33,S
fw end qua,-2264.95,-2532.63,S
confirm ta,-216.25,-227.08,S
enrononlin,-692.72,-728.33,S
5 1237 sum,-2076.27,-2390.22,S
debt 4 000,-661.95,-628.56,P
esther tor,-1157.95,-1428.15,S
queri rega,-579.88,-639.12,S
time take ,-1317.19,-1234.3,P
confid att,-2286.42,-2123.99,P
current an,-5974.61,-5263.33,P
11 band le,-125.97,-122.98,P
job englis,-1567.94,-1748.26,S
thu aug 08,-728.15,-778.29,S
summer enr,-291.08,-314.89,S
park pass ,-425.6,-442.61,S
9 aug 2002,-307.42,-338.78,S
doe anyon ,-272.55,-293.37,S
net impact,-878.6,-920.11,S
hi face fr,-395.33,-377.1,P
12 sep 200,-216.14,-232.73,S
afro asiat,-7463.86,-8353.9,S
webcam dat,-48.72,-45.93,P
new york t,-1333.73,-1304.39,P
enron hpl ,-218.92,-266.89,S
select low,-336.26,-320.86,P
link tex d,-2894.81,-2666.12,P
syntax eas,-1494.62,-1812.06,S
bulker cd ,-1841.15,-1732.66,P
perman fix,-160.93,-141.58,P
interest q,-847.7,-860.63,S
invest par,-1070.58,-1012.11,P
increas pe,-1611.16,-1467.59,P
new updat ,-980.36,-925.04,P
oportunida,-2290.26,-2087.68,P
empti ,-23.89,-21.65,P
inexpens m,-253.75,-227.43,P
wayn tow r,-2539.75,-2993.92,S
look 10 ye,-967.25,-918.77,P
rel clean ,-1797.55,-1947.27,S
like help ,-590.3,-571.11,P
albert tre,-692.17,-767.66,S
tue 20 aug,-822.49,-845.56,S
today fren,-662.09,-677.35,S
url http w,-225.71,-242.4,S
doe busi d,-571.93,-512.23,P
dear compu,-1417.11,-1338.38,P
txu fuel d,-880.28,-1033.85,S
hpl nom au,-140.97,-165.65,S
offer med ,-371.78,-326.37,P
today comm,-1024.3,-1076.58,S
enron year,-1143.85,-1238.66,S
pluto meg ,-4083.58,-4302.01,S
begin forw,-3036.56,-3134.7,S
question w,-315.44,-284.7,P
wrote byte,-524.46,-559.85,S
help 14 ye,-635.58,-577.96,P
blue horse,-435.16,-430.41,P
stuff seem,-6523.52,-6728.06,S
empti ,-23.89,-21.65,P
cut year 3,-1429.17,-1310.1,P
protect fi,-929.17,-856.53,P
ani med gi,-351.2,-306.21,P
c ia li ft,-145.12,-141.71,P
help 14 ye,-650.68,-591.17,P
new produc,-1479.6,-1700.14,S
h 6 29 fix,-180.97,-171.63,P
10 trust s,-73.71,-69.74,P
pictur str,-670.3,-614.2,P
fw cerawee,-2127.78,-2244.93,S
url http w,-200.54,-213.32,S
paliourg w,-3127.91,-2486.3,P
tiger team,-2004.49,-2145.69,S
url http b,-1100.88,-1122.63,S
