,-13.47,-13.11,P
thu 1 aug ,-804.98,-871.08,S
similar on,-1607.64,-1639.51,S
posit anno,-1206.42,-1296.5,S
ë÷îä £ ¨ ±,-2991.95,-2589.17,P
enron japa,-494.13,-535.16,S
give partn,-523.89,-511.11,P
good ol do,-468.47,-512.95,S
california,-7149.66,-7517.98,S
thi perfor,-821.05,-733.29,P
visit prof,-1451.44,-1560.04,S
url http w,-311.28,-324.15,S
hello bill,-2880.73,-2993.87,S
question b,-1625.22,-1691.33,S
tue 2002 1,-981.41,-1044.15,S
fw screens,-680.3,-739.54,S
failur not,-1480.24,-1363.55,P
graphic so,-1389.81,-1175.8,P
fork mr da,-3410.19,-3310.92,P
do boot di,-930.82,-1023.67,S
pure polit,-6048.49,-6336.85,S
guido clas,-1457.4,-1519.95,S
tmi95 adap,-2667.26,-2983.51,S
creditdotc,-1843.27,-2079.26,S
repli soon,-3899.97,-3729.18,P
soak cum w,-1291.32,-1251.29,P
revis nom ,-298.67,-335.73,S
11 49 7 24,-2249.86,-2314.25,S
2nd flexib,-6649.45,-7306.33,S
low cost t,-643.08,-591.93,P
like send ,-10799.05,-10259.8,P
look cheap,-290.33,-262.95,P
r russel t,-651.99,-685.46,S
japan upda,-409.24,-431.44,S
demograph ,-7161.99,-7335.06,S
offic xp 6,-715.22,-717.03,S
empti ,-22.49,-21.22,P
cheappesst,-836.41,-797.97,P
wecol 98 w,-756.32,-811.0,S
syllabu un,-280.82,-310.16,S
url http w,-272.23,-283.54,S
empti ,-22.49,-21.22,P
charm conf,-752.24,-830.78,S
hpl nom ma,-130.16,-153.73,S
add senns ,-526.37,-490.79,P
marc perke,-1049.81,-1115.32,S
url http w,-376.08,-394.44,S
lng book m,-852.97,-1084.55,S
apt conf l,-381.13,-438.37,S
job slavic,-713.19,-806.05,S
realiz per,-596.59,-549.93,P
especi fan,-225.18,-212.87,P
url http s,-395.39,-428.59,S
review ost,-9882.64,-10997.33,S
sap timeke,-259.65,-273.72,S
email lott,-2420.83,-2303.38,P
local soft,-713.34,-638.38,P
new book m,-2217.01,-2487.92,S
new offrr ,-497.23,-459.26,P
6 1143 dis,-524.14,-534.91,S
site licen,-2050.16,-2386.3,S
secur area,-99.0,-104.34,S
speak thin,-1064.34,-1172.41,S
quick easi,-211.81,-185.42,P
