: 5 . 1433,-23988.31,-25532.57,S
penn work ,-1572.08,-1726.7,S
: high qua,-1695.65,-1628.02,P
[jeremi hy,-2532.19,-2481.23,P
fw : weyga,-6336.46,-6243.2,P
tw pnr bil,-1723.41,-1683.35,P
: energi d,-421.33,-413.1,P
women 's s,-2152.33,-2219.19,S
dn troubl ,-2543.2,-2429.07,P
: - g ener,-3370.01,-3369.96,P
kant innat,-2699.98,-2833.35,S
> that alw,-788.35,-758.76,P
onli softw,-316.5,-288.05,P
proper nam,-1991.82,-2026.62,S
cheap oem ,-775.61,-731.77,P
3 . 429 en,-1228.14,-1221.69,P
bill , wan,-1477.1,-1457.37,P
let ' appr,-2762.71,-2575.98,P
gari lawre,-1110.81,-1091.74,P
f / r / e ,-1084.17,-1018.91,P
start date,-683.69,-693.79,S
teach engl,-7157.6,-7362.81,S
mailv07a.g,-339.73,-313.32,P
adult only,-396.82,-375.99,P
weekend no,-1498.66,-1481.45,P
make money,-10729.56,-9573.2,P
made p e n,-1204.09,-1162.7,P
state sena,-7649.98,-7679.35,S
>>from tod,-2335.8,-2277.16,P
reimburs i,-540.6,-549.83,S
hello, for,-1043.4,-958.77,P
jame roger,-785.45,-754.06,P
divx new (,-5255.96,-5072.8,P
url: 2002-,-515.79,-502.69,P
fw : total,-2623.22,-2535.96,P
drunk youn,-658.94,-615.44,P
polici mod,-7862.18,-7861.29,P
hot news -,-17593.24,-16322.2,P
intraday e,-718.81,-740.9,S
here numbe,-1722.35,-1706.23,P
second lan,-2228.43,-2236.98,S
on mon, 19,-2942.39,-2807.88,P
nestor liv,-632.92,-576.3,P
watch full,-2275.84,-2142.25,P
could anyo,-1062.38,-1044.04,P
url: not s,-522.68,-494.74,P
relief ski,-4607.22,-4334.49,P
prodigi nf,-2379.63,-2273.69,P
list admin,-333.11,-320.23,P
ani one an,-467.21,-454.5,P
carri vico,-1160.55,-1039.0,P
: approv o,-2828.85,-2847.98,S
: white wa,-658.1,-707.56,S
auction we,-2533.32,-2416.84,P
gain lowes,-2435.82,-2271.54,P
2001 resea,-1352.79,-1382.33,S
aisb96 cal,-8669.32,-9104.65,S
ford salut,-1678.53,-1609.35,P
==========,-6716.56,-6345.7,P
on mon, 20,-2928.67,-2880.52,P
> from: to,-3131.38,-3060.96,P
municip bo,-1947.95,-1913.71,P
we offer b,-1744.53,-1641.24,P
hello agai,-2212.55,-2133.97,P
thank tips,-356.92,-344.95,P
enron ment,-26882.9,-27674.56,S
ce - duke ,-255.46,-246.54,P
phone list,-501.89,-501.47,P
empti ,-23.89,-21.65,P
wallstreet,-8660.03,-8062.01,P
chest pain,-318.6,-301.74,P
url: not s,-204.39,-196.21,P
: glo / eg,-9255.18,-9351.86,S
kevin,in p,-2393.87,-2333.95,P
url: not s,-251.84,-237.43,P
free live ,-1247.76,-1152.47,P
the money ,-1803.06,-1704.85,P
verna chan,-332.37,-312.1,P
: tenaska ,-262.65,-265.74,S
invest sch,-4076.84,-3842.28,P
great fun ,-1681.76,-1609.06,P
├é┬ádear h,-1004.73,-920.79,P
: gwu , us,-8743.65,-8234.64,P
major news,-8505.64,-7883.22,P
empti ,-23.89,-21.65,P
readi get ,-554.64,-490.95,P
power weig,-2002.19,-1864.49,P
v chaanc w,-976.54,-881.11,P
global ris,-4145.78,-4179.82,S
begin forw,-4579.38,-4458.35,P
cash : $ 4,-1409.92,-1289.86,P
new book :,-2800.51,-2954.73,S
easi legit,-3006.46,-2803.53,P
url: 2002-,-680.59,-666.75,P
bigger bet,-323.72,-298.95,P
secret nov,-6604.04,-6134.72,P
posit avai,-2210.29,-2219.67,S
new capita,-11982.03,-11288.56,P
analyst pr,-1205.33,-1205.77,S
import onl,-1039.94,-988.32,P
locat / re,-4400.16,-4670.48,S
child lang,-3845.06,-3918.08,S
on fri sep,-1383.11,-1368.89,P
special is,-3293.11,-3541.7,S
on tue, oc,-591.67,-573.44,P
new theori,-1726.48,-1699.56,P
jackrabbit,-2110.31,-1963.72,P
ani med gi,-516.78,-459.54,P
juiceman i,-2280.51,-2131.96,P
ou alumni ,-491.48,-488.44,P
fw : alleg,-1079.32,-1078.7,P
pkdd ' 98 ,-17291.0,-17418.13,S
understand,-1463.95,-1432.56,P
energi ! b,-3075.4,-2807.68,P
correct co,-1083.36,-1079.05,P
year - end,-3938.88,-3947.21,S
transweste,-653.31,-679.17,S
revison # ,-333.02,-339.07,S
want submi,-2460.18,-2250.64,P
free info ,-5593.45,-5189.81,P
: buzzword,-111.59,-107.02,P
contract d,-277.48,-282.48,S
revis aga ,-451.78,-449.37,P
grammat re,-3196.1,-3360.49,S
vacat carr,-2114.25,-2064.98,P
g . j . ra,-2040.28,-2054.49,S
empti ,-23.89,-21.65,P
fw : train,-3138.64,-3062.18,P
on tue, 13,-1200.37,-1149.87,P
industri f,-10961.9,-10396.46,P
graphic so,-2093.81,-1824.92,P
enron - em,-1564.41,-1598.47,S
viru found,-1024.85,-957.27,P
updat /cvs,-1346.31,-1275.25,P
bankruptci,-952.74,-975.3,S
group limi,-830.99,-805.94,P
lng updat ,-1304.15,-1317.84,S
pleas resp,-553.49,-553.65,S
alway cum ,-789.23,-742.47,P
heh. never,-669.34,-647.39,P
use perl d,-1863.93,-1799.93,P
hey,i ha g,-775.87,-751.14,P
good morn ,-1716.0,-1752.68,S
fw : web c,-2342.82,-2291.77,P
url: 2002-,-871.17,-846.45,P
empti ,-23.89,-21.65,P
dear homeo,-776.54,-733.36,P
obligatori,-7122.32,-7437.75,S
>>>>> g ==,-1812.31,-1770.44,P
url: 2002-,-347.82,-332.62,P
job descri,-4983.05,-5169.68,S
date: fri,,-2363.12,-2315.61,P
onli solut,-244.68,-220.6,P
url: not s,-2916.04,-2838.59,P
get best r,-1063.57,-989.62,P
adjourn pa,-1262.74,-1150.66,P
url: 2002-,-347.94,-335.66,P
: revis co,-578.33,-570.71,P
i set razo,-745.67,-731.37,P
├é┬áyou ca,-1468.01,-1354.39,P
increas pe,-2618.51,-2404.23,P
changed: w,-476.27,-454.47,P
inexpens o,-437.4,-389.0,P
5th intl c,-5179.88,-5359.91,S
: hpl deli,-3085.22,-3116.24,S
font + - -,-7499.9,-7340.66,P
situat rig,-1541.48,-1458.81,P
on tue, au,-843.19,-809.61,P
www page :,-2269.53,-2335.48,S
henwood - ,-237.65,-248.72,S
astounding,-1989.12,-1856.12,P
honest par,-5297.74,-4999.31,P
greetings!,-904.34,-847.97,P
articl : ',-262.7,-260.73,P
fw : draft,-1395.65,-1425.87,S
: follow h,-3895.9,-3911.43,S
immigr upd,-725.48,-716.59,P
miscellan ,-1049.16,-1070.71,S
amta-98 ( ,-11684.8,-11896.26,S
chang coor,-951.31,-970.47,S
explor rea,-1675.77,-1562.08,P
empti ,-23.89,-21.65,P
on sunday ,-1168.85,-1160.5,P
goat % rdn,-10928.37,-10179.87,P
promot you,-1098.16,-1027.91,P
on 0020 +0,-2913.03,-2834.5,P
so sprach ,-1356.88,-1309.17,P
tone gramm,-1286.18,-1289.36,S
' beat em ,-517.37,-467.58,P
invoic swi,-2012.45,-1944.02,P
fw : energ,-724.06,-713.49,P
feedback e,-5514.43,-5708.34,S
research g,-1337.0,-1381.9,S
sle 98 st ,-3494.72,-3656.55,S
url: not s,-163.44,-157.25,P
: eskimo s,-993.62,-1013.23,S
depend - b,-5400.46,-5826.01,S
good day ,,-4984.46,-4666.23,P
url: 2002-,-682.95,-652.52,P
protect fi,-1060.59,-985.5,P
: softwar ,-1869.22,-1878.22,S
read : app,-848.57,-800.7,P
toward cul,-7852.19,-8181.52,S
time sensi,-2893.68,-2888.74,P
level 2 to,-7540.07,-6871.06,P
congratul ,-150.98,-144.87,P
----- orig,-1140.9,-1115.45,P
empti ,-23.89,-21.65,P
all, first,-7851.13,-7527.6,P
steve thom,-1125.53,-1075.43,P
on mon, 20,-311.31,-298.73,P
failur not,-3909.36,-3580.59,P
know hi ba,-1967.99,-1858.41,P
ad issu : ,-1428.6,-1395.89,P
url: not s,-57.85,-53.85,P
ecml ' 98 ,-10899.15,-11415.9,S
i don't kn,-403.05,-381.5,P
me too, i ,-1728.81,-1707.87,P
protect fi,-1060.59,-985.5,P
fw : neevr,-175.49,-167.47,P
elimin deb,-438.07,-420.55,P
huron do r,-1837.24,-1847.33,S
pragma99 2,-14208.85,-13954.38,P
anal love ,-94.93,-84.5,P
price rev ,-1091.91,-984.48,P
on wed, au,-392.1,-375.69,P
restrict l,-4707.15,-4632.94,P
becom + ce,-13441.64,-12519.73,P
question w,-1302.03,-1230.72,P
craig r.hu,-1350.46,-1313.39,P
photoshop ,-315.92,-286.1,P
logo , sta,-3171.38,-2910.17,P
credit wat,-983.46,-954.81,P
dear sirs,,-858.11,-802.41,P
forbidden ,-1337.11,-1240.34,P
return mai,-1687.52,-1591.32,P
stop smoke,-5086.17,-4788.59,P
queri icel,-866.9,-908.9,S
save life ,-783.41,-717.47,P
to find mo,-2329.12,-2179.72,P
on fri 19 ,-1715.34,-1650.83,P
[ wm ] cev,-1975.7,-1820.54,P
cfp - rece,-14973.48,-15422.59,S
organiz an,-2384.67,-2436.86,S
r _ x orde,-633.24,-582.58,P
queri : fo,-300.93,-295.28,P
macromedia,-586.82,-542.67,P
url: wed, ,-240.13,-237.93,P
slash paym,-1431.04,-1331.42,P
oportunida,-3670.24,-3393.43,P
view holla,-590.1,-597.94,S
two intere,-935.25,-918.37,P
contract u,-687.72,-708.29,S
save money,-570.73,-512.81,P
: tenaska ,-3744.24,-3762.32,S
come see s,-1338.11,-1262.03,P
lose 19 % ,-1877.82,-1767.16,P
readi get ,-562.3,-493.95,P
use perl d,-698.72,-698.21,P
august 200,-227.13,-230.65,S
: first de,-7518.81,-8009.24,S
empti ,-23.89,-21.65,P
attention:,-1108.47,-1029.55,P
i new linu,-193.56,-193.49,P
l2 theori ,-1577.0,-1639.0,S
congratul ,-4961.94,-4661.87,P
shoot cu d,-1002.16,-910.69,P
: 3 . 429 ,-1506.12,-1573.97,S
i php prog,-1099.71,-1075.66,P
afford onl,-404.86,-372.89,P
schedul cr,-307.22,-319.71,S
machin lea,-8879.23,-8902.97,S
charg adve,-490.8,-452.89,P
hpl nom ju,-246.14,-257.88,S
empti ,-23.89,-21.65,P
rohit wa w,-25680.67,-24896.41,P
hello, for,-764.0,-674.49,P
fantast ne,-5256.41,-4866.57,P
url: not s,-221.54,-216.91,P
: confer p,-1005.24,-1055.71,S
you receiv,-4075.23,-3796.89,P
url: 2002-,-297.57,-287.83,P
server doe,-1967.78,-1882.18,P
start date,-683.32,-693.83,S
dhumbadji ,-982.38,-994.08,S
shop loan ,-505.87,-466.2,P
- 0500 ( e,-3774.06,-3727.33,P
. cia : li,-337.98,-288.31,P
inform com,-22484.14,-22614.16,S
financi we,-1035.77,-1052.86,S
park / len,-835.55,-822.12,P
enron / hp,-264.64,-280.54,S
tenaska iv,-1121.79,-1153.79,S
> > no, oh,-1055.23,-1012.42,P
cut bill ,,-1049.47,-1052.85,S
promot pla,-1151.37,-1093.42,P
ee ask ori,-987.44,-976.48,P
instal equ,-490.42,-478.38,P
increas md,-629.61,-624.82,P
dont fuddi,-430.91,-407.24,P
> i wonder,-509.39,-507.44,P
reduc mont,-534.45,-506.1,P
synthet co,-5827.49,-5877.8,S
probblem s,-878.81,-781.59,P
: zhendong,-3166.56,-3170.86,S
inculp ill,-3209.04,-2972.93,P
: new trad,-1498.49,-1516.87,S
enron ment,-43750.54,-45012.5,S
use perl d,-606.29,-602.96,P
on mon, 2 ,-1187.23,-1166.14,P
accomplish,-89.89,-89.57,P
url: 2002-,-379.29,-368.03,P
import inf,-1238.23,-1175.74,P
url: not s,-3363.64,-3313.72,P
: eprm 200,-4576.78,-4643.14,S
onc upon t,-915.6,-902.28,P
: credit r,-1899.28,-1893.52,P
graphic so,-2115.98,-1831.02,P
trade free,-41436.72,-40096.93,P
intellig f,-947.37,-899.92,P
final - yo,-1976.78,-1827.07,P
empti ,-23.89,-21.65,P
ph ^ armac,-1637.0,-1549.87,P
statu hpl ,-220.85,-244.36,S
: equival ,-819.22,-747.77,P
red rock f,-3129.85,-3169.81,S
tenur - tr,-3920.41,-4050.2,S
